id	time	latitude	longitude
21600	1038346	50.959269	6.927322
21600	1055293	50.934215	6.886389
21600	106741	50.932526	6.952825
21600	1071141	51.066527	6.857079
21600	110068	51.004747	6.880475
21600	1101572	50.963562	6.958536
21600	1104306	50.944332	6.984152
21600	1105792	50.925802	7.067976
21600	1130704	50.957387	6.942822
21600	1138272	50.926315	7.023568
21600	1152693	50.928205	6.855377
21600	1156513	51.066488	6.861910
21600	1169775	50.918388	6.949592
21600	117772	50.955663	6.968995
21600	1189141	50.957320	6.994313
21600	1191949	50.937639	6.930205
21600	1217744	50.850253	7.091784
21600	1236663	50.909949	6.971529
21600	1241786	50.880748	7.055708
21600	1256045	50.933482	7.037581
21600	1259579	50.985420	6.966777
21600	1267093	50.896368	6.897955
21600	1270579	50.954046	6.956980
21600	1279792	50.883013	7.105183
21600	128220	50.874859	7.018428
21600	1291400	50.929307	6.863783
21600	1297111	50.938305	6.932763
21600	1299974	50.918869	6.967170
21600	1323290	51.029601	6.889768
21600	1327879	50.952148	7.034523
21600	1333770	50.954823	7.075429
21600	1334213	50.919232	6.887615
21600	133517	50.930135	6.996709
21600	1339081	51.028096	6.895299
21600	139293	51.024795	6.896121
21600	1409231	50.933289	7.099700
21600	1411328	50.949013	6.963794
21600	142846	50.932232	6.867750
21600	143160	50.969370	7.006757
21600	1456161	50.877830	7.053169
21600	1473982	50.960675	6.954521
21600	1475636	50.928458	6.942489
21600	1488391	50.964019	6.972119
21600	1490074	50.965666	7.027907
21600	1492804	51.047586	6.851850
21600	151193	50.883707	6.989543
21600	1515399	50.895049	6.917401
21600	1531240	50.914337	6.944523
21600	1535452	50.922981	6.940512
21600	1553120	50.955426	6.961345
21600	1556090	50.894267	6.944798
21600	1558320	50.917021	6.925452
21600	1558412	50.896010	7.081271
21600	1576414	50.914090	6.926077
21600	1586065	51.003077	6.855529
21600	1588904	50.954628	7.005041
21600	190368	50.953818	6.920028
21600	191032	50.912930	7.021457
21600	191817	50.949364	6.994359
21600	19273	51.000305	6.875341
21600	207633	50.942017	6.846515
21600	208028	50.994393	6.926206
21600	213347	50.927691	6.922891
21600	272056	50.954905	7.013589
21600	295205	50.968246	6.975542
21600	296480	50.991248	6.890304
21600	298598	50.931083	6.900972
21600	302908	50.918482	7.050423
21600	310161	50.938889	7.008347
21600	315393	50.945068	6.928630
21600	329531	50.961427	6.917565
21600	330462	50.991220	6.916205
21600	338595	50.976027	7.101546
21600	350242	50.919795	6.926725
21600	357515	50.950353	6.934594
21600	357789	50.970911	7.048673
21600	369755	50.956201	6.879432
21600	382364	50.912457	6.930303
21600	401866	50.961698	7.003671
21600	409725	50.999727	7.034138
21600	422894	50.906242	7.016090
21600	429537	50.941992	6.835845
21600	436345	50.971996	6.976600
21600	440274	51.007677	6.911630
21600	444284	50.961328	6.973406
21600	448957	50.921607	7.081663
21600	452065	50.952698	6.922995
21600	452799	50.982109	7.035862
21600	476007	50.940590	6.947751
21600	483648	50.929359	6.849635
21600	498957	50.948792	7.050084
21600	531307	50.956532	6.902949
21600	548477	50.928820	6.911619
21600	575324	50.971908	7.075703
21600	576462	50.974478	7.049108
21600	57717	50.956361	7.029280
21600	582680	50.909886	6.938356
21600	609983	50.856245	7.025351
21600	625568	50.933667	6.832186
21600	625631	50.943391	6.946646
21600	664708	50.999819	6.869437
21600	671987	50.988808	7.029827
21600	674798	50.882152	6.964235
21600	737095	50.895937	6.927411
21600	742148	50.903672	6.956924
21600	742817	50.960969	6.952898
21600	777195	50.926409	6.868674
21600	782629	50.949759	7.042509
21600	79769	50.846809	7.111646
21600	80530	50.968629	6.951662
21600	809560	50.903984	6.954490
21600	817137	50.997695	7.046947
21600	819587	50.937549	6.932749
21600	825803	50.900444	6.953925
21600	829452	50.893673	7.077734
21600	841950	50.851041	6.919197
21600	843379	50.956024	6.917116
21600	88902	50.995441	6.871797
21600	938243	50.979754	6.865202
21600	940781	50.906553	6.998544
21600	94904	50.946272	7.022785
21600	963569	50.983090	6.944421
21600	971360	50.957412	7.011230
21600	982247	50.927991	6.908894
21600	983566	50.924238	6.930659
21660	1000269	50.947174	6.842324
21660	1001377	50.941475	6.837443
21660	1001579	50.916398	6.923112
21660	1001742	50.956854	6.972788
21660	1001763	50.891024	7.069493
21660	1003493	51.065003	6.864621
21660	1003637	50.931268	6.962760
21660	1003821	51.030963	6.906805
21660	1004463	50.949541	7.038679
21660	1006071	50.971511	7.010067
21660	100899	50.950952	7.062156
21660	1009413	50.937394	6.998370
21660	1009785	50.929127	7.027116
21660	1010832	50.888902	7.057228
21660	1011732	50.885641	7.003747
21660	101184	50.922715	7.024066
21660	1012305	50.930897	6.949126
21660	1013068	50.941244	6.837919
21660	1014643	50.968460	7.039210
21660	1015903	50.873982	6.947184
21660	1016792	50.945301	7.039894
21660	1019477	50.978310	7.071133
21660	1022090	51.025217	6.899046
21660	1023000	50.850774	7.109048
21660	1023008	50.962955	6.888642
21660	1023333	50.955144	6.966038
21660	1023750	50.848437	7.100945
21660	1023954	50.897238	7.060040
21660	1025093	50.871311	7.049128
21660	1025107	50.925891	6.961455
21660	1025276	50.975150	7.014569
21660	1025720	50.941927	6.980679
21660	102670	50.952544	6.864408
21660	1026743	50.911410	7.001193
21660	1027234	50.994162	6.926513
21660	1027959	50.919692	7.090743
21660	1029022	50.972851	7.006222
21660	1031216	50.912344	6.923935
21660	1031387	50.968521	7.039710
21660	1031674	50.880240	7.105236
21660	1031917	50.914400	6.923524
21660	1032914	50.986775	6.857975
21660	1033046	50.996728	7.042438
21660	1033129	50.895437	7.050303
21660	1033214	50.881653	7.055644
21660	1033249	50.938447	7.006425
21660	1033802	50.963514	6.924539
21660	1033836	50.944395	6.943145
21660	1034043	50.944431	7.007744
