dataset	epsilon	mu	delta	time	flocks	tag
SJ50K55.csv	50	9	3	45.611	23	bfe
SJ50K55.csv	100	9	3	74.050	365	bfe
SJ50K55.csv	150	9	3	127.721	2000	bfe
SJ50K55.csv	200	9	3	203.122	6219	bfe
SJ50K55.csv	250	9	3	317.474	18778	bfe
SJ50K55.csv	300	9	3	556.869	45201	bfe
SJ50K55.csv	50	9	3	45.642	8	lcm
SJ50K55.csv	100	9	3	73.512	78	lcm
SJ50K55.csv	150	9	3	126.921	354	lcm
SJ50K55.csv	200	9	3	193.054	1096	lcm
SJ50K55.csv	250	9	3	293.704	2829	lcm
SJ50K55.csv	300	9	3	438.375	6396	lcm
